,leave,active,winback,new_cancel/suspended,trial_conversion,new_signup,new_leave,new_winback,re-activation
2023-01-31,230.0,283.0,33.0,3.0,0.0,12.0,5.0,3.0,0.0
2023-02-28,232.0,288.0,36.0,6.0,0.0,11.0,6.0,4.0,0.0
2023-03-31,236.0,284.0,33.0,8.0,0.0,8.0,5.0,1.0,0.0
2023-04-30,238.0,284.0,34.0,6.0,0.0,8.0,5.0,2.0,0.0
2023-05-31,245.0,277.0,35.0,8.0,0.0,7.0,7.0,1.0,0.0
2023-06-30,248.0,273.0,35.0,10.0,0.0,9.0,4.0,1.0,0.0
2023-07-31,248.0,270.0,36.0,7.0,0.0,2.0,1.0,3.0,0.0
2023-08-31,251.0,269.0,38.0,7.0,0.0,7.0,6.0,3.0,1.0
2023-09-30,250.0,282.0,42.0,5.0,0.0,14.0,3.0,6.0,0.0
2023-10-31,255.0,293.0,43.0,4.0,0.0,16.0,6.0,5.0,0.0
2023-11-30,256.0,294.0,42.0,13.0,0.0,14.0,2.0,3.0,0.0
2023-12-31,260.0,294.0,42.0,5.0,0.0,9.0,5.0,2.0,0.0
