,leave,active,winback,new_cancel/suspended,trial_conversion,new_signup,new_leave,new_winback,re-activation
2024-01-31,269.0,315.0,50.0,6.0,0.0,20.0,8.0,5.0,1.0
2024-02-29,272.0,320.0,53.0,10.0,0.0,9.0,7.0,8.0,1.0
2024-03-31,278.0,317.0,52.0,12.0,0.0,7.0,10.0,9.0,0.0
2024-04-30,281.0,331.0,56.0,13.0,0.0,19.0,9.0,14.0,0.0
2024-05-31,289.0,335.0,60.0,14.0,0.0,13.0,14.0,12.0,0.0
2024-06-30,293.0,311.0,42.0,14.0,0.0,12.0,14.0,3.0,0.0
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
